,Cash,Australian Short Duration Bond,Australian Fixed Income,Global Fixed Income (Hedged),Global Credit (Hedged),Australian Listed Equity,Global Listed Equity (Unhedged),Global Listed Equity (Hedged),Australian Listed Property,Global Infrastructure (Unhedged),Global Private Equity
Aug 2014,0.0022661450,0.0019453130,0.0101417150,0.0142611540,0.0155735350,0.0064235950,0.0206148710,0.0280764080,0.0167599670,0.0303640250,0.0227926860
Sep 2014,0.0020737400,0.0034107530,-0.0033299930,-0.0011428120,-0.0062976260,-0.0536740690,-0.0315002920,-0.0113327920,-0.0513659450,0.0384626930,0.0506012410
Oct 2014,0.0023114610,0.0038375050,0.0095665390,0.0095389490,0.0104252490,0.0426544170,0.0049667280,0.0126330130,0.0652775770,0.0349458870,0.0015314720
Nov 2014,0.0022487590,0.0056651040,0.0126763890,0.0117283330,0.0094395840,-0.0324229770,0.0176095200,0.0311964440,-0.0000205361,0.0301507540,0.0767367270
Dec 2014,0.0023181180,0.0046987920,0.0168514470,0.0075097200,0.0029203430,0.0204025250,-0.0203225200,-0.0086359430,0.0449255980,0.0442049020,0.0612607120
Jan 2015,0.0025142670,0.0050163760,0.0161036420,0.0217725270,0.0255560370,0.0322358990,-0.0162439240,-0.0033489620,0.0744016230,0.0544506860,0.1301108050
Feb 2015,0.0020897330,0.0038878440,0.0027981750,-0.0040605200,-0.0031413300,0.0692222840,0.0535972010,0.0571314250,0.0368633340,-0.0193018550,0.0483778840
Mar 2015,0.0020528700,-0.0005344970,0.0075970380,0.0078423640,0.0057873530,-0.0005173750,-0.0175063850,-0.0021350010,-0.0196107650,0.0038727600,0.0589323900
Apr 2015,0.0017972230,0.0036076070,-0.0110798820,-0.0035442380,-0.0031632220,-0.0164749470,0.0275545890,0.0175474130,-0.0098959670,-0.0185118150,-0.0424656090
May 2015,0.0020026330,0.0000615271,0.0003617440,-0.0026009230,-0.0024479430,0.0042871450,-0.0032887170,0.0098727900,0.0272553980,0.0141161110,0.0788823880
Jun 2015,0.0017589490,0.0036352000,-0.0092566990,-0.0106770590,-0.0148751820,-0.0531525870,-0.0247813750,-0.0269098310,-0.0397270780,-0.0499509790,-0.0437982620
Jul 2015,0.0018036210,0.0035349000,0.0130001260,0.0121091770,0.0099947720,0.0431341490,0.0079735010,0.0196770940,0.0566900650,0.0786803180,0.0949907540
Aug 2015,0.0018094360,0.0006966980,0.0063707990,-0.0009851480,-0.0043846290,-0.0769773490,-0.0691516830,-0.0664302200,-0.0402066740,-0.0325665440,-0.0492840380
Sep 2015,0.0017618520,0.0032717950,0.0025002280,0.0075308740,0.0028442110,-0.0285787760,-0.0378000810,-0.0327525110,-0.0028293900,-0.0006251150,-0.0422123440
Oct 2015,0.0018910780,-0.0012621790,0.0029917660,0.0049104680,0.0080204930,0.0442046640,0.0779935530,0.0771904420,0.0487193010,0.0274332890,0.0526979150
Nov 2015,0.0016670440,0.0009248990,-0.0087592800,0.0020371080,0.0024807890,-0.0068165580,-0.0100649110,0.0046673620,-0.0283252150,-0.0469461800,0.0352526410
Dec 2015,0.0019155020,0.0034782330,0.0033283330,-0.0009577330,-0.0048587640,0.0272807480,-0.0203344880,-0.0197949540,0.0404494540,-0.0321868980,-0.0716407140
Jan 2016,0.0020100610,0.0032188690,0.0122220810,0.0165169120,0.0080363910,-0.0544972870,-0.0603895620,-0.0536238110,0.0094928310,0.0228472660,-0.0472879100
Feb 2016,0.0017788320,0.0008068870,0.0103433940,0.0109175220,0.0079121540,-0.0172471410,-0.0087241880,-0.0125181280,0.0280950990,0.0043024080,-0.0202670520
Mar 2016,0.0019806370,0.0043618480,-0.0021318850,0.0092474600,0.0199683610,0.0477615460,0.0703808370,0.0547217310,0.0249743370,-0.0026806520,-0.0219442950
Apr 2016,0.0019894920,0.0054956970,0.0025871930,0.0030805270,0.0098033480,0.0333976450,0.0123711340,0.0082014560,0.0275619550,0.0161453400,0.0137400000
May 2016,0.0019351060,0.0032857730,0.0125605370,0.0056622680,0.0032457180,0.0313632320,-0.0011673540,0.0161784180,0.0267590870,0.0417432820,0.0880351730
Jun 2016,0.0016484130,0.0033323250,0.0132685110,0.0197597200,0.0191802190,-0.0244222950,-0.0083302250,-0.0087781200,0.0352811300,0.0141406690,-0.0763843610
Jul 2016,0.0017301520,0.0042164110,0.0073537860,0.0070208530,0.0155599010,0.0635922700,0.0411233700,0.0410209660,0.0536468880,-0.0026174380,0.0410356900
Aug 2016,0.0016892720,0.0020860760,0.0042183230,0.0005425500,0.0055257870,-0.0155685440,0.0021435450,0.0084815680,-0.0267858430,-0.0219284750,0.0282164700
Sep 2016,0.0014159320,0.0006627490,-0.0022481390,0.0007047540,-0.0009436580,0.0051434230,0.0039654880,0.0030461990,-0.0431163800,-0.0018953420,-0.0182991750
Oct 2016,0.0014612040,0.0004358050,-0.0127639340,-0.0090397550,-0.0075841760,-0.0217479380,-0.0176425530,-0.0041995010,-0.0769923780,-0.0136182090,0.0134061550
Nov 2016,0.0014454760,0.0010945460,-0.0143994450,-0.0162583390,-0.0204070210,0.0280495280,0.0061164320,0.0219517710,0.0074702690,-0.0021708160,0.0849662870
Dec 2016,0.0014513170,0.0049700000,-0.0017156300,0.0035540800,0.0070869290,0.0434044010,0.0202722340,0.0257404370,0.0675159800,0.0502297640,0.0549299030
Jan 2017,0.0015699610,0.0025527770,0.0061191010,-0.0025707800,0.0022132680,-0.0077468220,0.0263738870,0.0166679800,-0.0471067890,-0.0311880690,-0.0294013450
Feb 2017,0.0013444340,0.0036198590,0.0017199710,0.0091475210,0.0118346550,0.0218313260,0.0261587570,0.0298873200,0.0412770580,0.0213719140,0.0127412090
Mar 2017,0.0015015190,0.0038416110,0.0044111820,0.0002526050,0.0001399070,0.0327526400,0.0095341130,0.0111799130,0.0070683970,0.0129816380,0.0148912150
Apr 2017,0.0014850580,0.0047208950,0.0075143200,0.0074063790,0.0091206670,0.0098275630,0.0146014740,0.0137038620,0.0255912390,0.0335933730,0.0552789250
May 2017,0.0014874340,-0.0004336400,0.0116534100,0.0064185450,0.0093154790,-0.0274314830,0.0205527680,0.0182536290,-0.0100478900,0.0370864400,0.0070755380
Jun 2017,0.0014330350,0.0038201910,-0.0089776040,-0.0021633410,0.0003021560,0.0022053220,0.0022208810,0.0029130020,-0.0451083210,-0.0453818210,-0.0421402320
Jul 2017,0.0014574620,0.0015921700,0.0024791240,0.0036525790,0.0070024170,0.0001405640,0.0264409110,0.0187059940,-0.0015239580,-0.0242543920,-0.0414920170
Aug 2017,0.0014208170,0.0015960560,-0.0000589045,0.0095706950,0.0091352840,0.0074935610,0.0020121570,0.0044870440,0.0151346970,0.0245407270,-0.0119493450
Sep 2017,0.0014161150,0.0049380850,-0.0031139290,-0.0043309350,-0.0024590610,0.0003526270,0.0185123210,0.0223747210,0.0057182560,0.0033350860,0.0571430250
Oct 2017,0.0014680390,0.0029810260,0.0109467930,0.0046524660,0.0063117970,0.0401535280,0.0201474610,0.0279936160,0.0224621070,0.0351408420,0.0390093100
Nov 2017,0.0013323250,0.0004419400,0.0086953040,0.0018868400,0.0001345970,0.0169344990,0.0181993880,0.0135735030,0.0529013280,0.0302162090,-0.0203383410
Dec 2017,0.0014330640,0.0027211320,-0.0052021630,0.0023899960,0.0052216510,0.0185883900,0.0143150900,0.0127750630,0.0012222040,-0.0479539960,-0.0184082250
Jan 2018,0.0015585020,0.0022797960,-0.0026766030,-0.0068505180,-0.0066939780,-0.0039111340,0.0564522420,0.0416593510,-0.0324572400,-0.0359473640,0.0018345610
Feb 2018,0.0013378540,0.0012045850,0.0029320190,-0.0023079650,-0.0088686420,0.0033813640,-0.0436010040,-0.0374376040,-0.0315096580,-0.0152732760,0.0043480230
Mar 2018,0.0013828720,0.0013585370,0.0084230000,0.0083564260,0.0031277200,-0.0372557840,-0.0228425910,-0.0222290010,0.0011225480,0.0219151660,-0.0306146290
Apr 2018,0.0016406190,0.0029514490,-0.0034669800,-0.0038326570,-0.0049345230,0.0377846340,0.0073249230,0.0185370280,0.0427644590,0.0407235640,0.0508309480
May 2018,0.0017266830,0.0021325290,0.0068598280,0.0036833490,0.0034603960,0.0119337060,-0.0020188160,0.0089168980,0.0297564120,-0.0051826010,0.0320388470
Jun 2018,0.0015139120,0.0023386000,0.0047719990,0.0016605920,-0.0020908000,0.0318760850,-0.0074042070,-0.0004919420,0.0227091450,0.0347798710,0.0326675590
Jul 2018,0.0019028610,0.0037272060,0.0015950990,0.0001784080,0.0054964490,0.0130580570,0.0290858730,0.0303607290,0.0095467000,0.0234526860,0.0463881580
Aug 2018,0.0016742120,0.0018130330,0.0081111510,0.0029265460,0.0046004380,0.0140327460,0.0065948860,0.0121058110,0.0260810010,0.0245417300,0.0324708230
Sep 2018,0.0015781230,0.0030175240,-0.0042489120,-0.0037970290,-0.0029092480,-0.0119363580,0.0030752770,0.0060492790,-0.0154772650,-0.0057478400,0.0074310550
Oct 2018,0.0016808200,0.0010036600,0.0048438490,-0.0022712100,-0.0076995810,-0.0615605100,-0.0756750580,-0.0699218030,-0.0311653780,-0.0011285360,-0.0482773930
Nov 2018,0.0015455460,0.0033933330,0.0024284750,0.0044911520,-0.0013340590,-0.0217621420,0.0132674080,0.0138003390,-0.0027059130,-0.0024529670,-0.0529678740
Dec 2018,0.0015223430,0.0027506510,0.0150335470,0.0143268250,0.0117499520,-0.0022661590,-0.0724829210,-0.0767080990,0.0173094240,-0.0170463800,-0.0671113300
Jan 2019,0.0018030450,0.0044878040,0.0063997910,0.0096512190,0.0167061870,0.0386776610,0.0781691840,0.0708287790,0.0595852550,0.0452546180,0.0720183700
Feb 2019,0.0017300900,0.0059454050,0.0093746650,0.0006849470,0.0036308700,0.0600841430,0.0250279560,0.0312172010,0.0179738290,0.0533009150,0.0608837020
Mar 2019,0.0016538730,0.0042884090,0.0182159520,0.0174014650,0.0204652880,0.0073312880,0.0102943510,0.0161037110,0.0604436000,0.0236030920,0.0175150550
Apr 2019,0.0016368230,0.0041453180,0.0028433810,-0.0000147797,0.0049943070,0.0246161200,0.0324923920,0.0368810170,-0.0229285120,0.0151657070,0.0747390270
May 2019,0.0015095720,0.0042843060,0.0170095900,0.0137807770,0.0107114350,0.0174569280,-0.0636813080,-0.0606706240,0.0230375300,0.0022505610,-0.0229067520
Jun 2019,0.0013243750,0.0043579380,0.0104048220,0.0129043480,0.0186227800,0.0364383460,0.0639507730,0.0571337600,0.0416358130,0.0184726550,0.0491161420
Jul 2019,0.0011982300,0.0023814680,0.0094920700,0.0068934080,0.0079781910,0.0296958450,0.0016224470,0.0085798590,0.0261112410,0.0231385310,0.0586970200
